ts,symbol,source,metric,value
1762834478553,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=aa50e936-298f-4c99-a290-44e923b021ad&ratios=1&types=long,high,4.63
1762834478553,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=aa50e936-298f-4c99-a290-44e923b021ad&ratios=1&types=long,low,0.78
1762834478553,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=aa50e936-298f-4c99-a290-44e923b021ad&ratios=1&types=long,volume,91909
1762834478603,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,high,5.34
1762834478603,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,low,1.02
1762834478603,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,volume,66618
1762834478603,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,high,4.63
1762834478603,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,low,0.78
1762834478603,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,volume,91909
1762834478643,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=1d9d5423-da55-4361-b911-669c3f33e0ee&ratios=1&types=long,high,5.34
1762834478643,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=1d9d5423-da55-4361-b911-669c3f33e0ee&ratios=1&types=long,low,1.02
1762834478643,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=1d9d5423-da55-4361-b911-669c3f33e0ee&ratios=1&types=long,volume,66618
1762834497127,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=aa50e936-298f-4c99-a290-44e923b021ad&ratios=1&types=long,high,4.63
1762834497127,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=aa50e936-298f-4c99-a290-44e923b021ad&ratios=1&types=long,low,0.78
1762834497127,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=aa50e936-298f-4c99-a290-44e923b021ad&ratios=1&types=long,volume,91909
1762834497146,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=1d9d5423-da55-4361-b911-669c3f33e0ee&ratios=1&types=long,high,5.34
1762834497146,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=1d9d5423-da55-4361-b911-669c3f33e0ee&ratios=1&types=long,low,1.02
1762834497146,SPY,https://api.robinhood.com/marketdata/options/strategy/quotes/?ids=1d9d5423-da55-4361-b911-669c3f33e0ee&ratios=1&types=long,volume,66618
1762834497155,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,high,5.34
1762834497155,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,low,1.02
1762834497155,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,volume,66618
1762834497155,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,high,4.63
1762834497155,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,low,0.78
1762834497155,SPY,https://api.robinhood.com/marketdata/options/?ids=aa50e936-298f-4c99-a290-44e923b021ad%2C1d9d5423-da55-4361-b911-669c3f33e0ee,volume,91909
