snapshot_ts_ms,snapshot_date_utc,ws_url,dir,opCode,data_base64,decoded_hint
snapshot_ts_ms,snapshot_date_utc,ws_url,dir,opCode,data_base64,decoded_hint
1763523266765,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2Njc1Ng==,
1763523266760,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2Njc1Ng==,
1763523266806,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI2Njc1Ng==,
1763523266823,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI2Njc1Ng==,
1763523266838,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2NjgzOA==,
1763523266900,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI2NjgzOA==,
1763523267762,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2Nzc2Mg==,
1763523267762,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2Nzc2Mg==,
1763523267812,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI2Nzc2Mg==,
1763523267820,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI2Nzc2Mg==,
1763523267839,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2NzgzOQ==,
1763523267884,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI2NzgzOQ==,
1763523268758,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2ODc1OA==,
1763523268758,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI2ODc1OA==,
